id,current_amount
0,15.838893301808824
1,13.921085706299085
2,13.258753891128388
3,14.371894276994235
4,12.898685550221302
5,12.680172712682793
6,12.851541148213272
7,12.971525156831735
8,12.72330296926733
9,13.760166331898702
10,14.332091232489706
11,12.416592509147078
12,14.683006597667628
13,13.14559395673822
14,11.393429796038651
15,12.372549567243826
16,12.38123156774631
17,13.618147734344873
18,13.487028322875059
19,13.325276649261758
20,14.205400964814595
21,12.84429641680362
22,12.529677346719938
23,11.927112607976392
24,13.583780023947707
25,11.808679389087937
26,13.697263001588567
27,11.7032621507079
28,12.973800011177397
29,11.984072213974041
30,14.193352933440442
31,12.38387289900265
32,13.6491902621321
33,12.425866595005461
34,12.689215168988566
35,14.938031787638348
36,14.50542588763627
37,11.822891508484114
38,15.719803364005093
39,13.754227887563848
40,13.496679110405669
41,13.571459105582838
42,12.643725255625018
43,13.117717313255024
44,15.24889799762315
45,13.190199411819634
46,13.384224046152507
47,12.063743601070854
48,15.945993800282176
49,13.451401108261745
50,13.684121577191217
51,13.345359275533587
52,14.37711144113075
53,13.501044259949918
54,12.652610434905808
55,12.465786965040747
56,14.450087244386356
57,14.309316082191094
58,13.041883083737133
59,12.29984143127219
60,12.126262449913316
61,14.425907154788671
62,12.767214586455905
63,15.228021520158933
64,13.796030940578287
65,12.021722811543508
66,12.44299134108056
67,14.495003392936516
68,13.884524147868078
69,13.309370690953404
70,13.077648287718642
71,12.947441591835059
72,13.348561063063695
73,13.386409025589064
74,14.374337176765195
75,13.40265151692212
76,13.085120906600235
77,14.504956738483
78,13.857367136295869
79,14.603012044998502
80,13.330558733930195
81,12.657092505171073
82,12.746922161735327
83,13.035504428892363
84,12.59443349855015
85,11.585766082977779
86,12.752372270682956
87,12.626936214299658
88,12.862709410035526
89,14.380551325791563
90,13.257075819544903
91,13.8437950723359
92,13.366794970252766
93,12.480898915769789
94,12.869457639220258
95,12.408140885566173
96,15.202172380049813
97,13.529727163977526
